Rank,Country,GDP_nominal_2022($),GDP_abbrev,GDP_growth(%),Population_2022,GDP_per_capita($),Share_of_World_GDP(%)
1,United States,25462700000000.0,$25.463 trillion,2.06,341534046,74554.0,25.32
2,China,17963200000000.0,$17.963 trillion,2.99,1425179569,12604.0,17.86
3,Japan,4231140000000.0,$4.231 trillion,1.03,124997578,33850.0,4.21
4,Germany,4072190000000.0,$4.072 trillion,1.79,84086227,48429.0,4.05
5,India,3385090000000.0,$3.385 trillion,7.0,1425423212,2375.0,3.37
6,United Kingdom,3070670000000.0,$3.071 trillion,4.1,68179315,45038.0,3.05
7,France,2782910000000.0,$2.783 trillion,2.56,66277409,41989.0,2.77
8,Russia,2240420000000.0,$2.240 trillion,-2.07,145579899,15390.0,2.23
9,Canada,2139840000000.0,$2.140 trillion,3.4,38821259,55120.0,2.13
10,Italy,2010430000000.0,$2.010 trillion,3.67,59619115,33721.0,2.0
11,Brazil,1920100000000.0,$1.920 trillion,2.9,210306415,9130.0,1.91
12,Australia,1675420000000.0,$1.675 trillion,3.62,26200984,63945.0,1.67
13,South Korea,1665250000000.0,$1.665 trillion,2.56,51782512,32159.0,1.66
14,Mexico,1414190000000.0,$1.414 trillion,3.06,128613117,10996.0,1.41
15,Spain,1397510000000.0,$1.398 trillion,5.45,47828382,29219.0,1.39
16,Indonesia,1319100000000.0,$1.319 trillion,5.31,278830529,4731.0,1.31
17,Saudi Arabia,1108150000000.0,$1.108 trillion,8.74,32175352,34441.0,1.1
18,Netherlands,991115000000.0,$991 billion,4.48,17904421,55356.0,0.99
19,Turkey,905988000000.0,$906 billion,5.57,87058473,10407.0,0.9
20,Switzerland,807706000000.0,$808 billion,2.06,8792182,91866.0,0.8
21,Poland,688177000000.0,$688 billion,4.87,38385739,17928.0,0.68
22,Argentina,632770000000.0,$633 billion,5.24,45407904,13935.0,0.63
23,Sweden,585939000000.0,$586 billion,2.64,10487338,55871.0,0.58
24,Norway,579267000000.0,$579 billion,3.28,5456801,106155.0,0.58
25,Belgium,578604000000.0,$579 billion,3.25,11641820,49700.0,0.58
26,Ireland,529245000000.0,$529 billion,11.97,5110016,103570.0,0.53
27,Israel,522033000000.0,$522 billion,6.46,9103151,57346.0,0.52
28,United Arab Emirates,507535000000.0,$508 billion,7.41,10242086,49554.0,0.5
29,Thailand,495341000000.0,$495 billion,2.59,71735329,6905.0,0.49
30,Nigeria,477386000000.0,$477 billion,3.25,223150896,2139.0,0.47
31,Egypt,476748000000.0,$477 billion,6.59,112618250,4233.0,0.47
32,Austria,471400000000.0,$471 billion,5.0,9064677,52004.0,0.47
33,Singapore,466789000000.0,$467 billion,3.65,5649885,82619.0,0.46
34,Bangladesh,460201000000.0,$460 billion,7.1,169384897,2717.0,0.46
35,Vietnam,408802000000.0,$409 billion,8.02,99680655,4101.0,0.41
36,Malaysia,406306000000.0,$406 billion,8.69,34695493,11711.0,0.4
37,South Africa,405870000000.0,$406 billion,2.04,62378410,6507.0,0.4
38,Philippines,404284000000.0,$404 billion,7.57,113964338,3547.0,0.4
39,Denmark,395404000000.0,$395 billion,3.82,5902904,66985.0,0.39
40,Iran,388544000000.0,$389 billion,2.75,89524246,4340.0,0.39
41,Pakistan,376533000000.0,$377 billion,6.19,243700667,1545.0,0.37
42,Hong Kong,359839000000.0,$360 billion,-3.48,7465915,48198.0,0.36
43,Colombia,343939000000.0,$344 billion,7.5,51737944,6648.0,0.34
44,Romania,301262000000.0,$301 billion,4.79,19166772,15718.0,0.3
45,Chile,301025000000.0,$301 billion,2.44,19553036,15395.0,0.3
46,Czech Republic (Czechia),290924000000.0,$291 billion,2.46,10673213,27257.0,0.29
47,Finland,280826000000.0,$281 billion,2.08,5569299,50424.0,0.28
48,Iraq,264182000000.0,$264 billion,7.01,44070551,5995.0,0.26
49,Portugal,251945000000.0,$252 billion,6.69,10417073,24186.0,0.25
50,New Zealand,247234000000.0,$247 billion,2.16,5131734,48177.0,0.25
51,Peru,242632000000.0,$243 billion,2.68,33475438,7248.0,0.24
52,Qatar,237296000000.0,$237 billion,4.83,2892455,82040.0,0.24
53,Kazakhstan,220623000000.0,$221 billion,3.2,20034609,11012.0,0.22
54,Greece,219066000000.0,$219 billion,5.91,10412480,21039.0,0.22
55,Algeria,191913000000.0,$192 billion,3.1,45477389,4220.0,0.19
56,Kuwait,184558000000.0,$185 billion,8.18,4589511,40213.0,0.18
57,Hungary,178789000000.0,$179 billion,4.58,9684306,18462.0,0.18
58,Ukraine,160503000000.0,$161 billion,-29.1,41048766,3910.0,0.16
59,Morocco,134182000000.0,$134 billion,1.08,37329064,3595.0,0.13
60,Ethiopia,126783000000.0,$127 billion,5.32,125384287,1011.0,0.13
61,Slovakia,115469000000.0,$115 billion,1.67,5473197,21097.0,0.11
62,Ecuador,115049000000.0,$115 billion,2.95,17823897,6455.0,0.11
63,Oman,114667000000.0,$115 billion,4.31,4730226,24241.0,0.11
64,Dominican Republic,113642000000.0,$114 billion,4.86,11230734,10119.0,0.11
65,Kenya,113420000000.0,$113 billion,4.85,54252461,2091.0,0.11
66,Angola,106714000000.0,$107 billion,3.05,35635029,2995.0,0.11
67,Guatemala,95003333381.0,$95.00 billion,4.12,17847877,5323.0,0.09
68,Bulgaria,89040398406.0,$89.04 billion,3.36,6825864,13045.0,0.09
69,Luxembourg,82274812251.0,$82.27 billion,1.55,653313,125935.0,0.08
70,Uzbekistan,80391853885.0,$80.39 billion,5.67,34938955,2301.0,0.08
71,Azerbaijan,78721058824.0,$78.72 billion,4.62,10295304,7646.0,0.08
72,Panama,76522511781.0,$76.52 billion,10.81,4400773,17388.0,0.08
73,Tanzania,75709289056.0,$75.71 billion,4.56,64711821,1170.0,0.08
74,Sri Lanka,74403578363.0,$74.40 billion,-7.82,22834965,3258.0,0.07
75,Ghana,72838798788.0,$72.84 billion,3.24,33149152,2197.0,0.07
76,Belarus,72793457588.0,$72.79 billion,-4.7,9173237,7935.0,0.07
77,Uruguay,71177146197.0,$71.18 billion,4.92,3390913,20991.0,0.07
78,Croatia,70964606465.0,$70.96 billion,6.33,3907027,18163.0,0.07
79,Lithuania,70334299008.0,$70.33 billion,1.89,2816919,24969.0,0.07
80,Côte d'Ivoire,70018715017.0,$70.02 billion,6.74,30395002,2304.0,0.07
81,Costa Rica,68380838316.0,$68.38 billion,4.31,5081765,13456.0,0.07
82,Serbia,63501748652.0,$63.50 billion,2.25,6791213,9351.0,0.06
83,Slovenia,62117768015.0,$62.12 billion,5.37,2115228,29367.0,0.06
84,Myanmar,59364362541.0,$59.36 billion,3.0,53756787,1104.0,0.06
85,DR Congo,58065953573.0,$58.07 billion,8.92,102396968,567.0,0.06
86,Sudan,51662241775.0,$51.66 billion,-0.95,49383346,1046.0,0.05
87,Jordan,47451499859.0,$47.45 billion,2.5,11256263,4216.0,0.05
